sentence,implied_statement
its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall,non-white people are a threat
the third-world colonization of australia has continued apace ! read more : via,Immigrants are invaders
are you going to shoot up some people now too ? white people are dangerous,Whites are violent and hostile.
are you going to shoot up some people now too ? white people are dangerous,White people shoot others.
i'm sorry but perhaps ur misunderstanding me . while black people as a % r far & away the biggest users of govt assistance  i'm certainly not,Blacks freeload off the government
minneapoliss first somali policeman murders white woman : no media racist uproar via,Journalists are partial towards Black race
minneapoliss first somali policeman murders white woman : no media racist uproar via,Cops are killers.
white people can all drink bleach,white people are undesirable
white people can all drink bleach,White people need to die.
this is & she is jew . perfect articulation . bold,Jews are substandard people
it honestly makes me sick to think about what the white liberals have done to the black family in america . they deserve to be forced out,White people are bad for black families.
it honestly makes me sick to think about what the white liberals have done to the black family in america . they deserve to be forced out,White liberals destroy black society
they do and you can check them the white on white crime is less than half the total % of black on black,Black people are violent
they do and you can check them the white on white crime is less than half the total % of black on black,Black people are more violent than white people.
the antifa don't support genocide . you nazis do .,right wing protesters are violent.
#wakeup they are going to blame you  white people  every time,White people are always blamed
#wakeup they are going to blame you  white people  every time,Minorities don't take responsibility.
white power !,Minorities are low-grade human beings
white power !,White people are better than others.
i would just like to know a real world example of where racial equality has been demonstrated,Progressives are liars
don't worry  bill . it's not a pogrom . we're just replacing jews with white people .,replacing jews with white people
don't worry  bill . it's not a pogrom . we're just replacing jews with white people .,Jews aren't as good as white people.
this isn't about immigration  it's about brown color & stupid ignorant racist on the alt right . many of the racist have christian on profile,Christians are racist
this isn't about immigration  it's about brown color & stupid ignorant racist on the alt right . many of the racist have christian on profile,Christians are racist people.
